Tanggal,Klik,Tayangan,CPC rata2,Biaya
"Kam, 23 Apr 2026",0,0,Rp0,Rp0
"Jum, 24 Apr 2026",0,0,Rp0,Rp0
"Sab, 25 Apr 2026",0,0,Rp0,Rp0
"Min, 26 Apr 2026",0,0,Rp0,Rp0
"Sen, 27 Apr 2026",0,0,Rp0,Rp0
"Sel, 28 Apr 2026",0,0,Rp0,Rp0
"Rab, 29 Apr 2026",0,0,Rp0,Rp0
"Kam, 30 Apr 2026",0,0,Rp0,Rp0
"Jum, 1 Mei 2026",0,0,Rp0,Rp0
"Sab, 2 Mei 2026",0,0,Rp0,Rp0
"Min, 3 Mei 2026",0,0,Rp0,Rp0
"Sen, 4 Mei 2026",0,0,Rp0,Rp0
"Sel, 5 Mei 2026",0,0,Rp0,Rp0
"Rab, 6 Mei 2026",0,0,Rp0,Rp0
"Kam, 7 Mei 2026",0,0,Rp0,Rp0
"Jum, 8 Mei 2026",0,0,Rp0,Rp0
"Sab, 9 Mei 2026",0,0,Rp0,Rp0
"Min, 10 Mei 2026",0,0,Rp0,Rp0
"Sen, 11 Mei 2026",0,0,Rp0,Rp0
"Sel, 12 Mei 2026",0,0,Rp0,Rp0
"Rab, 13 Mei 2026",0,0,Rp0,Rp0
"Kam, 14 Mei 2026",0,0,Rp0,Rp0
"Jum, 15 Mei 2026",0,0,Rp0,Rp0
"Sab, 16 Mei 2026",0,0,Rp0,Rp0
"Min, 17 Mei 2026",0,0,Rp0,Rp0
"Sen, 18 Mei 2026",0,0,Rp0,Rp0
"Sel, 19 Mei 2026",0,0,Rp0,Rp0
"Rab, 20 Mei 2026",0,0,Rp0,Rp0
