# ----------------------------------------
# Amtech Ev
# Funnel-Eksplorasi funnel 1
# 20260421-20260518
# ----------------------------------------

Langkah,Kategori perangkat,Pengguna aktif,Rasio penyelesaian,Pengabaian,Rasio pengabaian
1. Pertama kali membuka aplikasi/mengunjungi situs,Total,36,1,0,0
1. Pertama kali membuka aplikasi/mengunjungi situs,mobile,27,1,0,0
1. Pertama kali membuka aplikasi/mengunjungi situs,desktop,9,1,0,0
2. Memulai sesi,Total,36,1,0,0
2. Memulai sesi,mobile,27,1,0,0
2. Memulai sesi,desktop,9,1,0,0
3. Melihat Layar/Halaman,Total,36,0,36,1
3. Melihat Layar/Halaman,mobile,27,0,27,1
3. Melihat Layar/Halaman,desktop,9,0,9,1
4. Pembelian,Total,0,-,-,-
4. Pembelian,mobile,0,-,-,-
4. Pembelian,desktop,0,-,-,-

